"PageFile","ControlType","DisplayText","AutomationId","HandlerOrCommand","HandlerStatus","Validation","LoadingState","ErrorState","SuccessState","DisabledState","DoubleTapProtection","RuntimeTested"
"MainPage.xaml","TapGestureRecognizer","","","GetCoins_Tapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","GetGems_Tapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSettingsImageTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnRulesCardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnStoreTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnLocalRuleTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnInternationalRuleTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCreateTeamClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnTeam1CardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnTeam2CardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCreateTeamClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnRulesCardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnLocalRuleTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnInternationalRuleTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnTeam1CardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnTeam2CardTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnStartGame","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnHistoryClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnRankingsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnHallOfFameClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnhomeTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnStoreTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnProfileTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseTeamPicker","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
