"Page","File","Purpose","EntryPaths","ExitPaths","AuthRole","InteractiveControls","TextInputs","EventsOrCommands","DataSource","SavePath","RuntimeTested","Result","Defects","CompletionPercent"
"App","App.xaml","Static inventory required runtime classification","NavigationGuardService.CreateNavigationRoot","NavigationGuardService.CreateNavigationRoot","Not proven","0","0","","ArabicTextRecoveryService; NavigationGuardService; SeasonExperienceService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AppShell","AppShell.xaml","Static inventory required runtime classification","","","Not proven","0","0","","","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HallBottomNavigationView","Controls\HallBottomNavigationView.xaml","Static inventory required runtime classification","","","Not proven","5","0","Command =; GestureRecognizers.Add","","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HallSideMenuView","Controls\HallSideMenuView.xaml","Static inventory required runtime classification","","","Not proven","6","0","Clicked=","","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"MatchTeamCard","Controls\MatchTeamCard.xaml","Static inventory required runtime classification","","","Not proven","0","0","","","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"RechargeCenterPage","Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","13","0","Clicked=; Tapped=","NavigationGuardService","PurchaseOfferAsync; PurchasePackageAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"ArchivedStoreItemsPage","GalleryEngine\Admin\ArchivedStoreItemsPage.cs","Static inventory required runtime classification","","","Developer","0","0",".Clicked +=","LimitedOffersAdminService; NewArrivalsAdminService","DeletePublishedAsync; RestoreArchivedAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AvatarsEditorPage","GalleryEngine\Admin\AvatarsEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; Shell.Current.GoToAsync","NavigationGuardService.PopOrGoBackAsync; Shell.Current.GoToAsync","Developer","268","80",".Clicked +=; Clicked=","AvatarsAdminService; NavigationGuardService; StoreCmsAssetPickerService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"BackgroundsEditorPage","GalleryEngine\Admin\BackgroundsEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","189","71",".Clicked +=; Clicked=","BackgroundsAdminService; NavigationGuardService; StoreCmsAssetPickerService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AdminAssetDetailsSheet","GalleryEngine\Admin\Components\AdminAssetDetailsSheet.cs","Static inventory required runtime classification","NavigationGuardService.PopModalOrBackAsync; NavigationGuardService.PushModalOnceAsync","NavigationGuardService.PopModalOrBackAsync; NavigationGuardService.PushModalOnceAsync","Not proven","1","0",".Clicked +=","NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AdminAssetPickerSheet","GalleryEngine\Admin\Components\AdminAssetPickerSheet.cs","Static inventory required runtime classification","NavigationGuardService.PopModalOrBackAsync; NavigationGuardService.PushModalOnceAsync","NavigationGuardService.PopModalOrBackAsync; NavigationGuardService.PushModalOnceAsync","Not proven","5","0",".Clicked +=; Command =; GestureRecognizers.Add","NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"CurrencyPricingManagerPage","GalleryEngine\Admin\CurrencyPricingManagerPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","76","29",".Clicked +=; Command =; GestureRecognizers.Add","LimitedOffersAdminService; NavigationGuardService; StorePricingAdminService","SaveAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"CurrentSeasonEditorPage","GalleryEngine\Admin\CurrentSeasonEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; Shell.Current.GoToAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; Shell.Current.GoToAsync","Developer","107","74",".Clicked +=; Clicked=; Tapped=; TextChanged=","CurrentSeasonAdminService; NavigationGuardService; SeasonExperienceService; StoreAdminService","DeleteDraftAsync; DeleteManagedSeasonAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"DeveloperStoreManagerPage","GalleryEngine\Admin\DeveloperStoreManagerPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; Shell.Current.GoToAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; Shell.Current.GoToAsync","Developer","10","8","Command =; GestureRecognizers.Add; Tapped=","NavigationGuardService; StoreAdminService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"InventoryAuditPage","GalleryEngine\Admin\InventoryAuditPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","30","8",".Clicked +=; Command =; GestureRecognizers.Add","InventoryAuditService; NavigationGuardService; StoreAssetQueryService","SaveAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"LimitedOffersEditorPage","GalleryEngine\Admin\LimitedOffersEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","175","77",".Clicked +=; Clicked=; Tapped=; TextChanged=","LimitedOffersAdminService; NavigationGuardService; StoreAssetCatalogService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"NewArrivalsEditorPage","GalleryEngine\Admin\NewArrivalsEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; Shell.Current.GoToAsync","NavigationGuardService.PopOrGoBackAsync; Shell.Current.GoToAsync","Developer","137","70",".Clicked +=; Clicked=; Tapped=; TextChanged=","NavigationGuardService; NewArrivalsAdminService; StoreAssetCatalogService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"SeasonContentAdminPage","GalleryEngine\Admin\SeasonContentAdminPage.cs","Static inventory required runtime classification","NavigationGuardService.PushOnceAsync","NavigationGuardService.PushOnceAsync","Developer","139","42",".Clicked +=","CurrentSeasonAdminService; NavigationGuardService; SeasonExperienceService; StoreAssetCatalogService","DeleteChapterAsync; DeleteRuleDraftAsync; SaveRuleAsync; SaveSeasonAsync; SaveSeasonDatesAsync; SaveStoryAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"EmblemsManagerPage","GalleryEngine\Admin\SpecializedStoreManagerPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","278","147",".Clicked +=; Command =; GestureRecognizers.Add","NavigationGuardService; NewArrivalsAdminService; StoreAssetCatalogService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; RestorePublishedAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"StoreCategoriesEditorPage","GalleryEngine\Admin\StoreCategoriesEditorPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","110","53",".Clicked +=; Clicked=","NavigationGuardService; StoreCategoriesAdminService","DeleteDraftAsync; DeletePublishedAsync; PublishAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"StoreSettingsManagerPage","GalleryEngine\Admin\StoreSettingsManagerPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Developer","7","1",".Clicked +=","AvatarsAdminService; BackgroundsAdminService; DeveloperLockService; LimitedOffersAdminService; NavigationGuardService; NewArrivalsAdminService; StoreAssetCatalogService; StoreCategoriesAdminService; StoreResetService; StoreRuntimeConfigurationService","DeleteAllArchivedAsync; DeleteAllPublishedContentAsync; DeleteArchivedContentAsync; SaveAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"TypographyManagerPage","GalleryEngine\Admin\TypographyManagerPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Developer","262","41",".Clicked +=","NavigationGuardService; NewArrivalsAdminService","PublishAsync; SaveAsync; SaveDraftAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"GalleryPage","GalleryEngine\Pages\GalleryPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; NavigationGuardService.ResetRootAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; NavigationGuardService.ResetRootAsync","Not proven","25","1","Clicked=","CurrentSeasonAdminService; NavigationGuardService; RechargeNavigationService; StoreAssetQueryService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"SeasonPage","GalleryEngine\Pages\SeasonPage.cs","Static inventory required runtime classification","NavigationGuardService.PushOnceAsync","NavigationGuardService.PushOnceAsync","Authenticated/Contextual","7","3",".Clicked +=","ApplicationUserService; NavigationGuardService; SeasonExperienceService; StoreAssetCatalogService; TeamProfileService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"WheelOfFortunePage","GalleryEngine\Pages\WheelOfFortunePage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Authenticated/Contextual","1","0",".Clicked +=","ApplicationUserService; NavigationGuardService; PlayerWalletService; StoreFeatureService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"MainPage","MainPage.xaml","Static inventory required runtime classification","NavigationGuardService.PushOnceAsync","NavigationGuardService.PushOnceAsync","Authenticated/Contextual","151","27","Clicked=; GestureRecognizers.Add; Tapped=; TextChanged=","AchievementsInfoService; ApplicationUserService; AppVersionService; BackupService; CurrentSeasonAdminService; DataStatusService; DeveloperLockService; DiagnosticService; HonorActivationService; HonorIdentityService; NavigationGuardService; PlayerProfileService; PlayerRankService; PlayerStoreIdentityService; PlayerWalletService; RankingService; SecurityLogService; TeamProfileService; UpdateLogService; UserGuideService; UserPrivacyProfileService","DeleteAsync; RestoreBackupAsync; SaveAsync; SaveTeamsAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AccountRecoveryPage","Pages\AccountRecoveryPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","82","82","Command =","NavigationGuardService; PremiumAccountAuthService; SecurityLogService; SupabaseRecoveryOtpService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"AppStartupPage","Pages\AppStartupPage.cs","Static inventory required runtime classification","NavigationGuardService.SetRoot","NavigationGuardService.SetRoot","Authenticated/Contextual","0","0","","DataMaintenanceService; NavigationGuardService; StartupSessionRouterService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"CertificatePage","Pages\CertificatePage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Not proven","2","0","Tapped=","CertificateQrService; NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
